"piler_party","party_id","party_code","party_name","Country"
"Labour Party",424,"ALP","Australian Labor Party","Australia"
"Labour Party (ALP)",424,"ALP","Australian Labor Party","Australia"
"Labour Party - ALP",424,"ALP","Australian Labor Party","Australia"
"Labour Party,ALP",424,"ALP","Australian Labor Party","Australia"
"Labour Party-ALP",424,"ALP","Australian Labor Party","Australia"
"Liberal",486,"LPA","Liberal Party of Australia","Australia"
"Liberal Democratic Party",9149,"LDP","Liberal Democratic Party","Australia"
"Liberal Democratic Party (LDP)",9149,"LDP","Liberal Democratic Party","Australia"
"Liberal Democrats",9149,"LDP","Liberal Democratic Party","Australia"
"Liberal Democrats (LDP)",9149,"LDP","Liberal Democratic Party","Australia"
"Liberal National Party (LNP)",285,"LNPQ","Liberal National Party of Queensland","Australia"
"Liberal National Party / Country Liberal Party",,,,"Australia"
"Liberal National Party of Queensland",285,"LNPQ","Liberal National Party of Queensland","Australia"
"Liberal Party",486,"LPA","Liberal Party of Australia","Australia"
"Liberal Party (Liberal National Party (LNP) / Country Liberal Party)",,,,"Australia"
"Liberal Party of Australia",486,"LPA","Liberal Party of Australia","Australia"
"Liberal party",486,"LPA","Liberal Party of Australia","Australia"
"Liberal-National Party/Country Liberal Party/Liberal",,,,"Australia"
"Motoring Enthusiasts Party",,,,"Australia"
"National",338,"NAT","Nationalist Party of Australia","Australia"
"National (Country) Party",1743,"ACP-NPA","Australian Country Party / National Party of Australia","Australia"
"National Party",1743,"ACP-NPA","Australian Country Party / National Party of Australia","Australia"
"National Party of Australia",1743,"ACP-NPA","Australian Country Party / National Party of Australia","Australia"
"National Party of Australia - NPA",1743,"ACP-NPA","Australian Country Party / National Party of Australia","Australia"
"National party",1743,"ACP-NPA","Australian Country Party / National Party of Australia","Australia"
"Nationalist Party of Australia",338,"NAT","Nationalist Party of Australia","Australia"
"Nationals",1743,"ACP-NPA","Australian Country Party / National Party of Australia","Australia"
"Nick Xenophon Team",5453,"NXT","Nick Xenophon Team","Australia"
"Nick Xenophon Team (NXT)",5453,"NXT","Nick Xenophon Team","Australia"
"Nuclear Disarmament",,,,"Australia"
"Nuclear Disarmament Party",,,,"Australia"
"Nuclear Disarmanent",,,,"Australia"
"One Nation",1162,"ONP","One Nation Party","Australia"
"One Nation Party",1162,"ONP","One Nation Party","Australia"
"One nation",1162,"ONP","One Nation Party","Australia"
"Palmer United Party",1996,"PUP","Palmer United Party","Australia"
"Palmer United Party (PUP)",1996,"PUP","Palmer United Party","Australia"
"Palmer United Pary",1996,"PUP","Palmer United Party","Australia"
"Palmer United Pary (PUP)",1996,"PUP","Palmer United Party","Australia"
"Pauline Hanson's One Nation",1162,"ONP","One Nation Party","Australia"
"Pirate Party Australia",,,,"Australia"
"Reason Australia",,,,"Australia"
"Renewable Energy Party",,,,"Australia"
"Science Party",,,,"Australia"
"Shooters and Fishers Party",,,,"Australia"
"Shooters, Fishers and Farmers",,,,"Australia"
"Shooters, Fishers and Farmers Party",,,,"Australia"
"Shooters, Fishers, and Farmers Party",,,,"Australia"
"Socialist Alliance",,,,"Australia"
"Sustainable Australia",,,,"Australia"
"The Australian Sex Party",,,,"Australia"
"The Greens",1209,"AG","Australian Greens","Australia"
"The Nationals",1743,"ACP-NPA","Australian Country Party / National Party of Australia","Australia"
"United Australia Party",566,"UAP","United Australia Party","Australia"
"United Australia Party (UAP) formerly known as Palmer United Party (PUP)",566,"UAP","United Australia Party","Australia"
"VOTEFLUX.ORG | Upgrade Democracy!",,,,"Australia"
"Victorian Socialists",,,,"Australia"
"Wikileaks Party",,,,"Australia"
"A different/ other party",,,,"Austria"
"Alexander Van der Bellen - Green Party",1659,"GRUENE","The Greens — The Green Alternative","Austria"
"Alliance for the Future of Austria",599,"BZO","Alliance for the Future of Austria","Austria"
"Alliance for the Future of Austria - BZÖ",599,"BZO","Alliance for the Future of Austria","Austria"
"Alternative List of Austria",666,"ALO","Alternative List Austria","Austria"
"Alternative Liste Oesterreichs (ALOE)",666,"ALO","Alternative List Austria","Austria"
"Andreas Kohl - Peoples Party - ÖVP",1329,"OVP","Austrian People's Party","Austria"
"Austrian Communist Party - KPOE",996,"KPO","Communist Party of Austria","Austria"
"Austrian Freedom Party - FPOE",463,"FPO","Freedom Party of Austria","Austria"
"Austrian Freedom Party - FPÖ",463,"FPO","Freedom Party of Austria","Austria"
"Austrian People's Party",1329,"OVP","Austrian People's Party","Austria"
"Austrian People's Party - OEVP",1329,"OVP","Austrian People's Party","Austria"
"Austrian People's Party - ÖVP",1329,"OVP","Austrian People's Party","Austria"
"Austrian Peoples Party",1329,"OVP","Austrian People's Party","Austria"
"Austrian Peoples's Party - OEVP",1329,"OVP","Austrian People's Party","Austria"
"Austrian Social Democratic Party - SPOE",1384,"SPO","Social Democratic Party of Austria","Austria"
"Austrian freedom party - FPOE",463,"FPO","Freedom Party of Austria","Austria"
"Austrian freedom party - Freiheitliche Partei Oesterreichs (FPOE)",463,"FPO","Freedom Party of Austria","Austria"
"Austrian peoples party - OEVP",1329,"OVP","Austrian People's Party","Austria"
"Austrian peoples party - Oesterreichische Volkspartei (OEVP)",1329,"OVP","Austrian People's Party","Austria"
"Austrian social democratic party - SPOE",1384,"SPO","Social Democratic Party of Austria","Austria"
"Austrian social democratic party - Sozialdemokratische Partei Oesterreichs (SPOE)",1384,"SPO","Social Democratic Party of Austria","Austria"
"BZOE (Far right))",599,"BZO","Alliance for the Future of Austria","Austria"
"BZÖ",599,"BZO","Alliance for the Future of Austria","Austria"
"Buergerinitiative Parlament (BIP)",,,,"Austria"
"Communist Party",996,"KPO","Communist Party of Austria","Austria"
"Communist Party of Austria",996,"KPO","Communist Party of Austria","Austria"
"Communist Party of Austria - KPÖ",996,"KPO","Communist Party of Austria","Austria"
"Communist Party of Austria and Platform PLUS - Open List",,,,"Austria"
"Communist party - KPOE",996,"KPO","Communist Party of Austria","Austria"
"Communist party - Kommunistische Partei Oesterreichs (KPOE)",996,"KPO","Communist Party of Austria","Austria"
"Confederation for the Future of Austria - BZOE",599,"BZO","Alliance for the Future of Austria","Austria"
"Conferederation for the Future of Austria - BZOE",599,"BZO","Alliance for the Future of Austria","Austria"
"DU - Lugner",1500,"DU","The Independents — Lugner's List","Austria"
"Die Grünen",1659,"GRUENE","The Greens — The Green Alternative","Austria"
"Dinkhauser List",439,"Fritz","The Citizens`Forum Austria","Austria"
"Dr. Martins List - For Democracy, Control, Justice",1708,"MARTIN","Hans-Peter Martin's List","Austria"
"FPOE (Far-right)",463,"FPO","Freedom Party of Austria","Austria"
"FPOE (Liberal Party)",463,"FPO","Freedom Party of Austria","Austria"
"FPOE (Liberal)",463,"FPO","Freedom Party of Austria","Austria"
"FPOE (Right Liberal)",463,"FPO","Freedom Party of Austria","Austria"
"FPOE (Right liberal)",463,"FPO","Freedom Party of Austria","Austria"
"FPOE Liberal",463,"FPO","Freedom Party of Austria","Austria"
"FPÖ",463,"FPO","Freedom Party of Austria","Austria"
"Free Austria List and FPS Dr. Karl Schnell List",,,,"Austria"
"Freedom Party",463,"FPO","Freedom Party of Austria","Austria"
"Freedom Party of Austria",463,"FPO","Freedom Party of Austria","Austria"
"Freedom Party of Austria - FPÖ",463,"FPO","Freedom Party of Austria","Austria"
"Freiheitliche Partei Oesterreichs (FPOE)",463,"FPO","Freedom Party of Austria","Austria"
"G (Left Green)",1659,"GRUENE","The Greens — The Green Alternative","Austria"
"GA (Left Green)",1659,"GRUENE","The Greens — The Green Alternative","Austria"
"GA (left-wing Green Party)",1659,"GRUENE","The Greens — The Green Alternative","Austria"
"GA left-wing Greens",1659,"GRUENE","The Greens — The Green Alternative","Austria"
"GILT",6138,"GILT","My Vote Counts!","Austria"
"GRUENE (Green)",1659,"GRUENE","The Greens — The Green Alternative","Austria"
"GRUENE (Greens)",1659,"GRUENE","The Greens — The Green Alternative","Austria"
"GRÜNE",1659,"GRUENE","The Greens — The Green Alternative","Austria"
"Green Party - GRUENE",1659,"GRUENE","The Greens — The Green Alternative","Austria"
"Green party - Die Gruenen-die Gruene Alternative (GRUENE)",1659,"GRUENE","The Greens — The Green Alternative","Austria"
"Green party - GRUENE",1659,"GRUENE","The Greens — The Green Alternative","Austria"
"Gruene",1659,"GRUENE","The Greens — The Green Alternative","Austria"
"Grüne",1659,"GRUENE","The Greens — The Green Alternative","Austria"
"Irmgard Griss - Independent",,,,"Austria"
"JETZT - Jetzt -Liste Pilz (JETZT)",6137,"PILZ","Peter Pilz List","Austria"
"JETZT-Liste Pilz",6137,"PILZ","Peter Pilz List","Austria"
"KPOE (Communist Party)",996,"KPO","Communist Party of Austria","Austria"
"KPOE (Communist)",996,"KPO","Communist Party of Austria","Austria"
"KPOE Communist",996,"KPO","Communist Party of Austria","Austria"
"KPÖ",996,"KPO","Communist Party of Austria","Austria"
"Kommunistische Partei Oesterreichs (KPOE)",996,"KPO","Communist Party of Austria","Austria"
"LF (Liberal)",605,"LIF","Liberal Forum","Austria"
"LIF",605,"LIF","Liberal Forum","Austria"
"LIF (liberal)",605,"LIF","Liberal Forum","Austria"
"Liberal Forum",605,"LIF","Liberal Forum","Austria"
"Liberal Forum",605,"LIF","Liberal Forum","Austria"
"Liberal Forum - LIF",605,"LIF","Liberal Forum","Austria"
"Liberales Forum",605,"LIF","Liberal Forum","Austria"
"Liberales Forum",605,"LIF","Liberal Forum","Austria"
"List Kurz / Austrian People's Party - ÖVP",1329,"OVP","Austrian People's Party","Austria"
"List Peter Pilz",6137,"PILZ","Peter Pilz List","Austria"
"Liste Hans Peter Martin",1708,"MARTIN","Hans-Peter Martin's List","Austria"
"Liste Pilz",6137,"PILZ","Peter Pilz List","Austria"
"NEOS",1970,"NEOS","NEOS — The New Austria","Austria"
"NEOS - Das Neue Oesterreich und Liberales Forum (NEOS)",1970,"NEOS","NEOS — The New Austria","Austria"
"NEOS - The New Austria together with Irmgard Griss, Citizens for Freedom and Responsibility",1970,"NEOS","NEOS — The New Austria","Austria"
"Norbert Hofer - Freedom Party - FPÖ",463,"FPO","Freedom Party of Austria","Austria"
"OEVP (Cons)",1329,"OVP","Austrian People's Party","Austria"
"OEVP (Conservative Party)",1329,"OVP","Austrian People's Party","Austria"
"OEVP (Conservative)",1329,"OVP","Austrian People's Party","Austria"
"OEVP Conservative",1329,"OVP","Austrian People's Party","Austria"
"Oesterreichische Volkspartei (OEVP)",1329,"OVP","Austrian People's Party","Austria"
"PILZ",6137,"PILZ","Peter Pilz List","Austria"
"Peter Pilz List",6137,"PILZ","Peter Pilz List","Austria"
"Pirate Party",,,,"Austria"
"Piratenpartei Österreich",,,,"Austria"
"Richard Lugner - Independent",,,,"Austria"
"Rudolf Hundstorfer - Social Democrats - SPÖ",1384,"SPO","Social Democratic Party of Austria","Austria"
"SPOE (Soc-Democr)",1384,"SPO","Social Democratic Party of Austria","Austria"
"SPOE (Social democrats, Centre left)",1384,"SPO","Social Democratic Party of Austria","Austria"
"SPOE (Social-Democrats)",1384,"SPO","Social Democratic Party of Austria","Austria"
"SPOE Social Dem",1384,"SPO","Social Democratic Party of Austria","Austria"
"SPÖ",1384,"SPO","Social Democratic Party of Austria","Austria"
"Sebastian Kurz List - The New People's Party",1329,"OVP","Austrian People's Party","Austria"
"Social Democratic Party of Austria",1384,"SPO","Social Democratic Party of Austria","Austria"
"Social Democratic Party of Austria - SPÖ",1384,"SPO","Social Democratic Party of Austria","Austria"
"Social Democratic Party of Austria- SPÖ",1384,"SPO","Social Democratic Party of Austria","Austria"
"Socialist Party of Austria",1384,"SPO","Social Democratic Party of Austria","Austria"
"Sozialistische Partei Oesterreichs (SPOE)",1384,"SPO","Social Democratic Party of Austria","Austria"
"Team Frank Stronach",1971,"TS","Team Stronach","Austria"
"Team Stronach",1971,"TS","Team Stronach","Austria"
"The Austrian Greens",1659,"GRUENE","The Greens — The Green Alternative","Austria"
"The Greens - The Green Alternative",1659,"GRUENE","The Greens — The Green Alternative","Austria"
"The New Austria",1970,"NEOS","NEOS — The New Austria","Austria"
"The new Austria - NEOS",1970,"NEOS","NEOS — The New Austria","Austria"
"United Ecologists of Austria",1170,"VGO","United Greens Austria","Austria"
"VGOE (conservative Green Party)",1170,"VGO","United Greens Austria","Austria"
"VGOE conservat Greens",1170,"VGO","United Greens Austria","Austria"
"Vereinte Gruene Oesterreichs (VGOE)",1170,"VGO","United Greens Austria","Austria"
"WEISSE",,,,"Austria"
"bzö",599,"BZO","Alliance for the Future of Austria","Austria"
"fpö",463,"FPO","Freedom Party of Austria","Austria"
"grüne",1659,"GRUENE","The Greens — The Green Alternative","Austria"
"lif",605,"LIF","Liberal Forum","Austria"
"spö",1384,"SPO","Social Democratic Party of Austria","Austria"
"ÖVP",1329,"OVP","Austrian People's Party","Austria"
"övp",1329,"OVP","Austrian People's Party","Austria"
"Azerbaijan Democratic Party",,,,"Azerbaijan"
"Azerbaijan Demokratik Sakhibkarlar Partyasi (ADSP)",,,,"Azerbaijan"
"Azerbaijan Liberal Party",,,,"Azerbaijan"
"Azerbaijan Milli Dovletchilik Partyasi (AMDP)",1990,"AMDP","Azerbaijan Independence Democrat Party","Azerbaijan"
"Azerbaijan Milli Istiglal Partyasi (AMIP)",1991,"AMIP","Azerbaijan National Independence Party","Azerbaijan"
"Azerbaijan Namine Alyans",,,,"Azerbaijan"
"Azerbaijan National Independence Party",1991,"AMIP","Azerbaijan National Independence Party","Azerbaijan"
"Azerbaijan Party of Hope",5877,"AUP","Azerbaijan Hope Party","Azerbaijan"
"Azerbaijan Popular Front",1992,"AXC","Azerbaijan Popular Front","Azerbaijan"
"Civic Solidarity Party",1994,"VHP","Civil Solidarity Party","Azerbaijan"
"Communist Party",6223,"AKP","Communist Party of Azerbaijan (1921)","Azerbaijan"
"Justice Party",,,,"Azerbaijan"
"Khalg Jabkhesi Partyasi (AKhCh)",,,,"Azerbaijan"
"Modern Musavat Party",,,,"Azerbaijan"
"Motherland Party",,,,"Azerbaijan"
"Musavat - Equality Party",7050,"Mu","Equality Party / New Musavat","Azerbaijan"
"Musavat Party",3628,"MP","Musavat Party (1911)","Azerbaijan"
"Musavat/Equality Party",7050,"Mu","Equality Party / New Musavat","Azerbaijan"
"New Azerbaijan Party",1995,"YAP","New Azerbaijan Party","Azerbaijan"
"Popular Front Party",1992,"AXC","Azerbaijan Popular Front","Azerbaijan"
"Social-Democratic Party",,,,"Azerbaijan"
"The Azerbaijan Communist Party",1993,"ACP","Azerbaijan Communist Party (1993)","Azerbaijan"
"The Azerbaijan Democratic Party",,,,"Azerbaijan"
"The Azerbaijan Liberal Party",,,,"Azerbaijan"
"Whole Azerbaijan Popular Front Party",,,,"Azerbaijan"
"Yeni Azerbaijan (YAP)",1995,"YAP","New Azerbaijan Party","Azerbaijan"
"Affiliated with Bangladesh Awami League",,,,"Bangladesh"
"Affiliated with Bangladesh Nationalist Party",,,,"Bangladesh"
"Affiliated with Communist Party Bangladesh",,,,"Bangladesh"
"Affiliated with Jamat-e-Islami",,,,"Bangladesh"
"Affiliated with Jatiyo Party",,,,"Bangladesh"
"Affiliated with Left Alliance",,,,"Bangladesh"
"Awami League",2299,"BAL","Bangladesh People's League","Bangladesh"
"Bangladesh Awami League",2299,"BAL","Bangladesh People's League","Bangladesh"
"Bangladesh Awami League (BAL)",2299,"BAL","Bangladesh People's League","Bangladesh"
"Bangladesh Communist Party (CPB)",8680,"CPB","Communist Party of Bangladesh","Bangladesh"
"Bangladesh Jamaat-e-Islami",2340,"JEB","Islam Conference Bangladesh","Bangladesh"
"Bangladesh National Party (BNP)",3782,"BNP","Bangladesh Nationalist Party","Bangladesh"
"Bangladesh Nationalist Party",3782,"BNP","Bangladesh Nationalist Party","Bangladesh"
"Bangladesh Nationalist Party (BNP)",3782,"BNP","Bangladesh Nationalist Party","Bangladesh"
"Bikolpa Dhara Bangladesh",,,,"Bangladesh"
"Islami Oikya Jote",6300,"OIJ","Islamic Unity Front","Bangladesh"
"Islamic Unity Front",6300,"OIJ","Islamic Unity Front","Bangladesh"
"Jamat",2340,"JEB","Islam Conference Bangladesh","Bangladesh"
"Jamat-e- Islami Bangladesh",2340,"JEB","Islam Conference Bangladesh","Bangladesh"
"Jatiya Party",2341,"JD","National Party (Ershad)","Bangladesh"
"Jatiya Party (Ershad)",2341,"JD","National Party (Ershad)","Bangladesh"
"Jatiya Party (Manju)",7673,"JP","Jatiya Party (Manju)","Bangladesh"
"Jatya Party (Monju)",7673,"JP","Jatiya Party (Manju)","Bangladesh"
